No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3697,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=256885 Win=36500 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.80E-05,54,0
3698,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=256885 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.00203,1514,0
3699,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=258345 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000618,1514,0
3700,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=259805 Win=33580 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.20E-05,54,0
3701,31:41.3,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=259805 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.102992,1514,0
3702,31:41.3,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=261265 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000447,1514,0
3703,31:41.3,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=262725 Win=30660 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,8.40E-05,54,0
3704,31:41.3,199.232.210.172,192.168.77.21,TCP,791,"80  >  49961 [PSH, ACK] Seq=262725 Ack=879 Win=64240 Len=737 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.003765,791,0
3705,31:41.3,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=263462 Win=29923 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,0.048487,54,0
3706,31:41.9,50:00:00:02:00:03,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/1/50:00:00:02:00:00  Cost = 0  Port = 0x8004,,50:00:00:02:00:03,01:80:c2:00:00:00,,,,,0.549542,60,0
